"ship_state","total_orders","total_sales","avg_order_value","cancelled_orders","cancellation_rate"
" JVPDS","2","348.0","174.0","0","0.0"
" Sector - 22""","2","368.0","184.0","0","0.0"
"Thiruvannamalai district""","2","399.0","199.5","0","0.0"
"Khardah""","2","475.0","237.5","0","0.0"
"Kalyan""","2","545.0","272.5","0","0.0"
"Nowgam Srinagar""","1","582.0","291.0","0","0.0"
"jammu kashmir""","1","292.0","292.0","0","0.0"
"  DHAR DISTRICT""","1","295.0","295.0","0","0.0"
"BATHALAPALLE""","1","295.0","295.0","0","0.0"
"di:Bharuch""","2","593.0","296.5","0","0.0"
